location,target,type,quantile,value,forecast_date,target_end_date
HR,1 wk ahead inc case,point,NA,3144.9516649973725,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.010,2779.1390840059803,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.025,2836.752065171666,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.050,2886.3024073594725,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.100,2943.4307785053984,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.150,2981.975019300004,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.200,3012.6087600062588,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.250,3038.889781852231,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.300,3062.4909517190413,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.350,3084.3609528780703,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.400,3105.1134453059126,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.450,3125.1917218964886,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.500,3144.9516649973725,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.550,3164.7116080982564,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.600,3184.7898846888324,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.650,3205.5423771166747,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.700,3227.4123782757038,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.750,3251.013548142514,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.800,3277.2945699884863,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.850,3307.928310694741,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.900,3346.4725514893466,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.950,3403.6009226352726,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.975,3453.151264823079,2021-02-22,2021-02-27
HR,1 wk ahead inc case,quantile,0.990,3510.7642459887647,2021-02-22,2021-02-27
HR,2 wk ahead inc case,point,NA,3408.4923945728438,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.010,1822.6245874130618,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.025,2072.387927584551,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.050,2287.198179042913,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.100,2534.8606416905054,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.150,2701.957329458656,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.200,2834.7604798239854,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.250,2948.6937578207076,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.300,3051.009362717752,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.350,3145.8200187281527,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.400,3235.7860597277568,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.450,3322.8292455633837,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.500,3408.4923945728438,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.550,3494.155543582304,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.600,3581.1987294179307,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.650,3671.164770417535,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.700,3765.975426427935,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.750,3868.29103132498,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.800,3982.2243093217025,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.850,4115.027459687031,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.900,4282.1241474551825,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.950,4529.786610102774,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.975,4744.596861561136,2021-02-22,2021-03-06
HR,2 wk ahead inc case,quantile,0.990,4994.360201732626,2021-02-22,2021-03-06
HR,3 wk ahead inc case,point,NA,3059.418111885974,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.010,-143.35375728861663,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.025,361.0609210602538,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.050,794.8853719224717,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.100,1295.057179961635,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.150,1632.5207242746721,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.200,1900.7260514826187,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.250,2130.8223407718715,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.300,2337.455919978402,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.350,2528.9327256725255,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.400,2710.625489718595,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.450,2886.4153416463946,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.500,3059.418111885974,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.550,3232.420882125554,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.600,3408.2107340533535,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.650,3589.903498099423,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.700,3781.380303793546,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.750,3988.013883000077,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.800,4218.11017228933,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.850,4486.3154994972765,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.900,4823.779043810313,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.950,5323.950851849476,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.975,5757.775302711694,2021-02-22,2021-03-13
HR,3 wk ahead inc case,quantile,0.990,6262.189981060565,2021-02-22,2021-03-13
HR,4 wk ahead inc case,point,NA,2485.8735510810075,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.010,-2140.531769472318,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.025,-1411.9045531105653,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.050,-785.2449502296586,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.100,-62.74656182601666,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.150,424.7196707611256,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.200,812.1423794273448,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.250,1144.5165666908672,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.300,1442.9988593096166,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.350,1719.587186174791,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.400,1982.0424607383861,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.450,2235.9709762488114,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.500,2485.8735510810075,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.550,2735.776125913204,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.600,2989.704641423629,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.650,3252.159915987224,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.700,3528.748242852398,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.750,3827.230535471148,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.800,4159.60472273467,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.850,4547.027431400889,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.900,5034.493663988032,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.950,5756.992052391672,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.975,6383.651655272579,2021-02-22,2021-03-20
HR,4 wk ahead inc case,quantile,0.990,7112.278871634333,2021-02-22,2021-03-20
